"","mode_paper","duration_mean","duration_sd","N"
"1","Fully open",8.57348484848485,3.47907828170561,22
"2","No meter",8.81594202898551,3.45012252110386,24
"3","Unlimited meter",10.0698717948718,3.64541727296301,26
"4","High limit",11.0333333333333,3.32415068517926,26
"5","Low limit",9.04492753623188,4.11649317136126,24
