"","mode_paper","error_mean","error_sd","N","error_ci95"
"1","Fully open",15.3463203463203,6.78694831947606,22,2.83608519741837
"2","No meter",17.1464267866067,8.6778081387264,24,3.47184633085628
"3","Unlimited meter",15.7824933687003,6.55803440665884,26,2.52082726939684
"4","High limit",12.8205128205128,7.03592733790461,26,2.70452339818097
"5","Low limit",19.1594202898551,9.81488745785079,24,3.92677280524754
