"","mode_paper","kapr_mean","kapr_sd","N","kapr_ci95"
"1","Fully open",0,0,22,0
"2","No meter",7.85423949715712,5.22647697622748,24,2.09102628487974
"3","Unlimited meter",5.32951890156557,3.78707020154035,26,1.45570291998923
"4","High limit",7.86647252369004,7.08939912644629,26,2.7250772919761
"5","Low limit",3.22169298317846,2.1178366499567,24,0.847311127990006
