uid,type,value,timestamp,extra
41,session_start,1522791194,1522791194,source:server|ustudy_budget:0|ustudy_mode:3
41,session_start,1522791199,1522791199,source:server|ustudy_budget:0|ustudy_mode:3
41,session_start,1522791212,1522791212,source:server|ustudy_budget:0|ustudy_mode:3
41,session_start,1522791218,1522791218,source:server|ustudy_budget:0|ustudy_mode:3
41,answer,q2a2,1522792541364,
41,answer,q2a3,1522792541859,
41,answer,q2a4,1522792542930,
41,answer,q5a1,1522792590476,
41,answer,q2a5,1522792612676,
41,answer,q2a6,1522792618229,
41,practice_answer,q2a6,1522792620,url:/tutorial/rl/id_1
41,practice_answer,q5a1,1522792620,url:/tutorial/rl/id_1
41,jumping,/tutorial/rl/id_1,1522792625,url:/tutorial/rl/id_1
41,final_answer,q2a6,1522792625,url:/tutorial/rl/id_1
41,final_answer,q5a1,1522792625,url:/tutorial/rl/id_1
41,practice_answer,q9a6,1522792675,url:/tutorial/rl/id_3
41,answer,q7a5,1522792665893,
41,answer,q9a6,1522792670509,
41,practice_answer,q7a5,1522792675,url:/tutorial/rl/id_3
41,jumping,/tutorial/rl/id_3,1522792677,url:/tutorial/rl/id_3
41,final_answer,q7a5,1522792677,url:/tutorial/rl/id_3
41,final_answer,q9a6,1522792677,url:/tutorial/rl/id_3
41,practice_answer,q11a6,1522792742,url:/tutorial/rl/twin
41,answer,q12a1,1522792708366,
41,answer,q11a5,1522792720573,
41,answer,q11a6,1522792738751,
41,practice_answer,q12a1,1522792742,url:/tutorial/rl/twin
41,jumping,/tutorial/rl/twin,1522792744,url:/tutorial/rl/twin
41,final_answer,q12a1,1522792744,url:/tutorial/rl/twin
41,final_answer,q11a6,1522792744,url:/tutorial/rl/twin
41,answer,q16a2,1522792831939,
41,answer,q15a2,1522792838250,
41,practice_answer,q15a2,1522792852,url:/tutorial/rl/dup
41,practice_answer,q16a2,1522792852,url:/tutorial/rl/dup
41,jumping,/tutorial/rl/dup,1522792852,url:/tutorial/rl/dup
41,final_answer,q15a2,1522792852,url:/tutorial/rl/dup
41,final_answer,q16a2,1522792852,url:/tutorial/rl/dup
41,practice_answer,q18a5,1522792954,url:/tutorial/rl/missing
41,answer,q18a5,1522792930784,
41,answer,q17a4,1522792935328,
41,answer,q17a3,1522792947016,
41,practice_answer,q17a3,1522792954,url:/tutorial/rl/missing
41,jumping,/tutorial/rl/missing,1522792957,url:/tutorial/rl/missing
41,final_answer,q17a3,1522792957,url:/tutorial/rl/missing
41,final_answer,q18a5,1522792957,url:/tutorial/rl/missing
41,practice_answer,q20a2,1522793026,url:/tutorial/rl/freq
41,answer,q19a5,1522793004394,
41,answer,q20a2,1522793015409,
41,practice_answer,q19a5,1522793026,url:/tutorial/rl/freq
41,jumping,/tutorial/rl/freq,1522793027,url:/tutorial/rl/freq
41,final_answer,q19a5,1522793027,url:/tutorial/rl/freq
41,final_answer,q20a2,1522793027,url:/tutorial/rl/freq
41,answer,q1a2,1522793070331,
41,answer,q2a1,1522793080627,
41,answer,q4a2,1522793109691,
41,answer,q6a5,1522793118378,
41,practice_answer,q1a2,1522793119,url:/tutorial/privacy/practice
41,practice_answer,q4a2,1522793119,url:/tutorial/privacy/practice
41,practice_answer,q2a1,1522793119,url:/tutorial/privacy/practice
41,practice_answer,q6a5,1522793119,url:/tutorial/privacy/practice
41,jumping,/tutorial/privacy/practice,1522793138,url:/tutorial/privacy/practice
41,final_answer,q1a2,1522793138,url:/tutorial/privacy/practice
41,final_answer,q2a1,1522793138,url:/tutorial/privacy/practice
41,final_answer,q4a2,1522793138,url:/tutorial/privacy/practice
41,final_answer,q6a5,1522793138,url:/tutorial/privacy/practice
41,open_cell,50054-1-2,1522793370,url:/tutorial/clickable/decision_making_demo
41,kapr,2.027027027027027,1522793370,id:50054-1-2|new_mode:partial|url:/tutorial/clickable/decision_making_demo
41,open_cell,50053-1-2,1522793425,url:/tutorial/clickable/decision_making_demo
41,kapr,10.226670520788169,1522793425,id:50053-1-2|new_mode:full|url:/tutorial/clickable/decision_making_demo
41,answer,q50053a1,1522793438805,
41,answer,q50053a2,1522793439996,
41,open_cell,50054-1-3,1522793442,url:/tutorial/clickable/decision_making_demo
41,kapr,13.048610107433639,1522793442,id:50054-1-3|new_mode:partial|url:/tutorial/clickable/decision_making_demo
41,answer,q50054a2,1522793448116,
41,practice_answer,q50053a2,1522793449,url:/tutorial/clickable/decision_making_demo
41,practice_answer,q50054a2,1522793449,url:/tutorial/clickable/decision_making_demo
41,jumping,/tutorial/clickable/decision_making_demo,1522793477,url:/tutorial/clickable/decision_making_demo
41,final_answer,q50053a2,1522793477,url:/tutorial/clickable/decision_making_demo
41,final_answer,q50054a2,1522793477,url:/tutorial/clickable/decision_making_demo
41,main_section_start,1522793503,1522793503,url:/tutorial/clickable/practice
41,open_cell,50055-1-2,1522793526,url:/tutorial/clickable/practice
