uid,type,value,timestamp,extra
254,session_start,1523128668,1523128668,source:server|ustudy_budget:0|ustudy_mode:1
254,session_start,1523128674,1523128674,source:server|ustudy_budget:0|ustudy_mode:1
254,session_start,1523128685,1523128685,source:server|ustudy_budget:0|ustudy_mode:1
254,session_start,1523128692,1523128692,source:server|ustudy_budget:0|ustudy_mode:1
254,practice_answer,q5a2,1523129335,url:/tutorial/rl/id_1
254,answer,q2a3,1523129279390,
254,answer,q2a6,1523129297965,
254,answer,q2a5,1523129312805,
254,answer,q2a6,1523129316277,
254,answer,q5a2,1523129333261,
254,practice_answer,q2a6,1523129335,url:/tutorial/rl/id_1
254,jumping,/tutorial/rl/id_1,1523129340,url:/tutorial/rl/id_1
254,final_answer,q2a6,1523129340,url:/tutorial/rl/id_1
254,final_answer,q5a2,1523129340,url:/tutorial/rl/id_1
254,practice_answer,q9a5,1523129440,url:/tutorial/rl/id_3
254,answer,q7a5,1523129410482,
254,answer,q7a4,1523129428802,
254,answer,q9a5,1523129439010,
254,practice_answer,q7a4,1523129440,url:/tutorial/rl/id_3
254,jumping,/tutorial/rl/id_3,1523129443,url:/tutorial/rl/id_3
254,final_answer,q7a4,1523129443,url:/tutorial/rl/id_3
254,final_answer,q9a5,1523129443,url:/tutorial/rl/id_3
254,answer,q12a2,1523129488032,
254,answer,q11a2,1523129496607,
254,practice_answer,q12a2,1523129499,url:/tutorial/rl/twin
254,practice_answer,q11a2,1523129499,url:/tutorial/rl/twin
254,jumping,/tutorial/rl/twin,1523129522,url:/tutorial/rl/twin
254,final_answer,q12a2,1523129522,url:/tutorial/rl/twin
254,final_answer,q11a2,1523129522,url:/tutorial/rl/twin
254,practice_answer,q16a2,1523129604,url:/tutorial/rl/dup
254,answer,q15a1,1523129574522,
254,answer,q16a2,1523129602985,
254,practice_answer,q15a1,1523129604,url:/tutorial/rl/dup
254,jumping,/tutorial/rl/dup,1523129612,url:/tutorial/rl/dup
254,final_answer,q15a1,1523129612,url:/tutorial/rl/dup
254,final_answer,q16a2,1523129612,url:/tutorial/rl/dup
254,answer,q17a2,1523129665202,
254,answer,q18a5,1523129667162,
254,practice_answer,q17a2,1523129671,url:/tutorial/rl/missing
254,practice_answer,q18a5,1523129671,url:/tutorial/rl/missing
254,jumping,/tutorial/rl/missing,1523129673,url:/tutorial/rl/missing
254,final_answer,q17a2,1523129673,url:/tutorial/rl/missing
254,final_answer,q18a5,1523129673,url:/tutorial/rl/missing
254,answer,q19a5,1523129711106,
254,answer,q20a3,1523129725671,
254,practice_answer,q19a5,1523129727,url:/tutorial/rl/freq
254,practice_answer,q20a3,1523129727,url:/tutorial/rl/freq
254,jumping,/tutorial/rl/freq,1523129729,url:/tutorial/rl/freq
254,final_answer,q19a5,1523129729,url:/tutorial/rl/freq
254,final_answer,q20a3,1523129729,url:/tutorial/rl/freq
254,main_section_start,1523129739,1523129739,url:/record_linkage
254,answer,p132a3,1523129757249,
254,answer,p132a2,1523129764560,
254,answer,p193a3,1523129776799,
254,answer,p26a5,1523129787989,
254,answer,p267a3,1523129798044,
254,answer,p371a5,1523129803925,
254,answer,p59a5,1523129816548,
254,next_page,/record_linkage,1523129818,url:/record_linkage
254,final_answer,p132a2,1523129818,url:/record_linkage
254,final_answer,p193a3,1523129818,url:/record_linkage
254,final_answer,p26a5,1523129818,url:/record_linkage
254,final_answer,p267a3,1523129818,url:/record_linkage
254,final_answer,p371a5,1523129818,url:/record_linkage
254,final_answer,p59a5,1523129818,url:/record_linkage
254,answer,p115a2,1523129858,url:/record_linkage
254,answer,p115a1,1523129862,url:/record_linkage
254,answer,p278a5,1523129876,url:/record_linkage
254,answer,p296a4,1523129892,url:/record_linkage
254,answer,p315a3,1523129903,url:/record_linkage
254,answer,p71a2,1523129928,url:/record_linkage
254,answer,p16a5,1523129966,url:/record_linkage
254,next_page,/record_linkage,1523129967,url:/record_linkage
254,final_answer,p115a1,1523129967,url:/record_linkage
254,final_answer,p278a5,1523129967,url:/record_linkage
254,final_answer,p296a4,1523129967,url:/record_linkage
254,final_answer,p315a3,1523129967,url:/record_linkage
254,final_answer,p71a2,1523129967,url:/record_linkage
254,final_answer,p16a5,1523129967,url:/record_linkage
254,answer,p221a2,1523129997,url:/record_linkage
254,answer,p145a2,1523130005,url:/record_linkage
254,answer,p252a1,1523130013,url:/record_linkage
254,answer,p334a5,1523130022,url:/record_linkage
254,answer,p90a4,1523130031,url:/record_linkage
254,answer,p355a3,1523130038,url:/record_linkage
254,next_page,/record_linkage,1523130039,url:/record_linkage
254,final_answer,p221a2,1523130039,url:/record_linkage
254,final_answer,p145a2,1523130039,url:/record_linkage
254,final_answer,p252a1,1523130039,url:/record_linkage
254,final_answer,p334a5,1523130039,url:/record_linkage
254,final_answer,p90a4,1523130039,url:/record_linkage
254,final_answer,p355a3,1523130039,url:/record_linkage
254,answer,p191a2,1523130075,url:/record_linkage
254,answer,p51a5,1523130082,url:/record_linkage
254,answer,p136a2,1523130092,url:/record_linkage
254,answer,p177a3,1523130150,url:/record_linkage
254,answer,p106a3,1523130164,url:/record_linkage
254,answer,p100a4,1523130176,url:/record_linkage
254,next_page,/record_linkage,1523130177,url:/record_linkage
254,final_answer,p191a2,1523130177,url:/record_linkage
254,final_answer,p51a5,1523130177,url:/record_linkage
254,final_answer,p136a2,1523130177,url:/record_linkage
254,final_answer,p177a3,1523130177,url:/record_linkage
254,final_answer,p106a3,1523130177,url:/record_linkage
254,final_answer,p100a4,1523130177,url:/record_linkage
254,answer,p39a5,1523130199,url:/record_linkage
254,answer,p155a3,1523130208,url:/record_linkage
254,answer,p216a1,1523130239,url:/record_linkage
254,answer,p158a3,1523130256,url:/record_linkage
254,answer,p302a1,1523130264,url:/record_linkage
254,answer,p31a5,1523130271,url:/record_linkage
254,next_page,/record_linkage,1523130273,url:/record_linkage
254,final_answer,p39a5,1523130273,url:/record_linkage
254,final_answer,p155a3,1523130273,url:/record_linkage
254,final_answer,p216a1,1523130273,url:/record_linkage
254,final_answer,p158a3,1523130273,url:/record_linkage
254,final_answer,p302a1,1523130273,url:/record_linkage
254,final_answer,p31a5,1523130273,url:/record_linkage
254,answer,p238a5,1523130292,url:/record_linkage
254,answer,p238a4,1523130294,url:/record_linkage
254,answer,p255a4,1523130303,url:/record_linkage
254,answer,p83a4,1523130313,url:/record_linkage
254,answer,p338a2,1523130325,url:/record_linkage
254,answer,p6a5,1523130338,url:/record_linkage
254,answer,p264a5,1523130346,url:/record_linkage
254,jumping,/record_linkage,1523130348,url:/record_linkage
254,final_answer,p238a4,1523130348,url:/record_linkage
254,final_answer,p255a4,1523130348,url:/record_linkage
254,final_answer,p83a4,1523130348,url:/record_linkage
254,final_answer,p338a2,1523130348,url:/record_linkage
254,final_answer,p6a5,1523130348,url:/record_linkage
254,final_answer,p264a5,1523130348,url:/record_linkage
254,performance1,26 out of 36,1523130361,source:server
254,enter main section,2,1523130369,source:server
254,main_section_start,1523130370,1523130370,url:/main_section
254,answer,p29a5,1523130390378,
254,answer,p269a2,1523130424432,
254,answer,p204a3,1523130437374,
254,answer,p372a4,1523130444046,
254,answer,p62a5,1523130451470,
254,answer,p130a2,1523130459118,
