u_id,grade30,grade36,kapr,mean_confidence,mean_confidence_right,mean_confidence_wrong,percent_attention,percent30,percent36,page_1_kapr,page_2_kapr,page_3_kapr,page_4_kapr,page_5_kapr,page_6_kapr,mode,mode_description,page_1_attention,page_2_attention,page_3_attention,page_4_attention,page_5_attention,page_6_attention,page_1_score,page_2_score,page_3_score,page_4_score,page_5_score,page_6_score,duration,date,section,moderate,minimum,budget,budget_percent_used
5,23,29,14.327051936410879,2.0277777777777777,2.0689655172413794,1.8571428571428572,1,76.66666666666667,80.55555555555556,1.6460880523380512,2.606511415093663,2.2928351129239966,1.126311958573499,5.2488888421618825,1.4064165553197872,2,Clickable w/out meter,1,1,1,1,1,1,1,0.8,0.6,0.8,0.8,0.6,5.83333333333333,2018-04-06T19:07:44Z,2,37.615918,5.056235,100,14.327051936410879
6,28,34,12.366850929264311,2.5277777777777777,2.5588235294117645,2,1,93.33333333333333,94.44444444444444,1.3963119202089764,3.529054379979427,2.6185654829277496,1.548267017017016,2.2498209318861497,1.0248311972449926,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.8,1,0.8,1,1,5.93333333333333,2018-04-03T21:26:41Z,2,37.486078,5.018995,100,12.366850929264311
7,28,34,13.60690912339918,2.75,2.7941176470588234,2,1,93.33333333333333,94.44444444444444,2.023430342453795,1.9092096235091622,2.057127727578783,0.8265158540893829,3.7801335490526764,3.010492026715381,4,Clickable & meter with high limit,1,1,1,1,1,1,0.8,1,0.8,1,1,1,6.25,2018-04-02T18:58:28Z,2,37.427997,5.586509,37.427997,36.35489530310473
8,28,34,7.741197050016681,2.6944444444444446,2.676470588235294,3,1,93.33333333333333,94.44444444444444,0.43199349362366946,2.168156853792091,1.2796946596288703,1.5418069584736256,2.154824834800105,0.16472024969831967,4,Clickable & meter with high limit,1,1,1,1,1,1,1,1,0.8,1,1,0.8,21.3333333333333,2018-04-02T18:57:23Z,2,37.086539,4.515997,37.086539,20.873333718243916
9,26,32,6.001402924186231,1.5142857142857142,1.53125,1.3333333333333333,1,89.65517241379311,91.42857142857143,0.9908234126984115,1.4541767373628347,1.3892645411078282,0.06313131313131226,1.5404600283927297,0.5635468914931151,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.8,0.8,1,1,0.8,6.58333333333333,2018-04-03T21:26:39Z,2,35.685805,6.00199,100,6.001402924186231
15,25,31,8.18119358607913,2.6944444444444446,2.774193548387097,2.2,1,83.33333333333334,86.11111111111111,0.7510079808357673,1.7782419487308014,0.5034013943762319,0.9286094310035833,2.9057376683655463,1.3141951627672004,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,10.15,2018-04-03T21:26:40Z,2,37.615918,5.056235,100,8.18119358607913
16,26,32,11.911991150032325,2.111111111111111,2.15625,1.75,1,86.66666666666667,88.88888888888889,1.7201646923470322,1.876215623973747,2.6185654829277496,2.1027921303656596,2.050335297189868,1.5439179232282685,4,Clickable & meter with high limit,1,1,1,1,1,1,1,0.6,0.8,1,0.8,1,9.63333333333333,2018-04-02T19:00:38Z,2,37.486078,5.018995,37.486078,31.777107090350516
26,27,33,1.7325151020003964,2,2.0303030303030303,1.6666666666666667,1,90,91.66666666666666,0.1659517973856209,0.12378688849277075,0.7112949346405234,0,0.7314814814814813,0,4,Clickable & meter with high limit,1,1,1,1,1,1,0.8,0.8,0.8,1,1,1,10.7666666666667,2018-04-02T19:05:11Z,2,37.486078,5.018995,37.486078,4.621756114364368
28,27,33,0,2.5555555555555554,2.606060606060606,2,1,90,91.66666666666666,0,0,0,0,0,0,1,Full disclosure,1,1,1,1,1,1,0.8,0.6,1,1,1,1,6.23333333333333,2018-04-07T18:48:42Z,2,37.086539,4.515997,100,0
30,26,32,2.020871435309749,3,3,3,1,86.66666666666667,88.88888888888889,0,0.4754585894936767,0.3713207342239602,0.3323412698412698,0.8417508417508425,0,5,Clickable & meter wih limit,1,1,1,1,1,1,0.8,0.8,0.8,1,1,0.8,4.38333333333333,2018-04-06T21:34:06Z,2,36.319067,5.675096,5.675096,35.609466964254864
34,26,32,10.939455863519253,2.7777777777777777,2.875,2,1,86.66666666666667,88.88888888888889,0.9178731988863285,2.1704995595753758,1.2840495707352144,1.8633261494252875,2.036017087219483,2.667690297677564,4,Clickable & meter with high limit,1,1,1,1,1,1,0.8,0.8,0.8,1,1,0.8,8.46666666666667,2018-04-02T19:00:51Z,2,36.234488,5.093492,36.234488,30.190728411891048
41,26,32,8.839265668032652,2.5277777777777777,2.53125,2.5,1,86.66666666666667,88.88888888888889,1.1677238252339088,1.4810625455786774,1.4785076275841387,0.019290123456790376,1.1703996486605162,3.5222818975186208,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.8,0.6,1,0.8,1,14.3333333333333,2018-04-03T21:33:14Z,2,36.886574,6.475996,100,8.839265668032652
48,23,29,4.900243018093845,2,2.103448275862069,1.5714285714285714,1,76.66666666666667,80.55555555555556,0.48041292111500905,0.2422868789092698,0.8838383838383841,0,0.727007232251321,2.566697601979861,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.4,0.8,0.8,0.8,0.8,11.1,2018-04-03T21:31:59Z,2,37.086539,4.515997,100,4.900243018093845
