u_id,section_3_duration
5,4.9
6,4.08333333333333
7,5.4
8,8.83333333333333
9,5.45
15,9.51666666666667
16,6.83333333333333
26,5.9
28,5.53333333333333
30,4.51666666666667
34,6.91666666666667
41,11
48,7.91666666666667
49,10.6166666666667
51,13.0833333333333
52,12.7666666666667
55,5.48333333333333
59,NA
61,5.18333333333333
62,7.13333333333333
73,NA
77,7.7
78,6.38333333333333
79,7.03333333333333
81,8.16666666666667
82,9.31666666666667
85,9
87,5.51666666666667
90,4.48333333333333
91,6.23333333333333
93,11.4333333333333
99,6.03333333333333
100,6.7
102,8.86666666666667
108,4.91666666666667
110,10.15
111,8.18333333333333
112,8.98333333333333
119,7.81666666666667
121,12.35
122,7.1
125,11
127,9.7
130,5.73333333333333
131,8.23333333333333
132,5.13333333333333
141,7.36666666666667
147,8.18333333333333
149,NA
151,5.03333333333333
153,7.58333333333333
157,3.81666666666667
160,11.5666666666667
162,8.9
165,10.9833333333333
167,10.1333333333333
173,4.55
179,8.06666666666667
185,9.15
190,10.35
191,12.4
192,6.38333333333333
197,8.76666666666667
200,10.5166666666667
202,8.23333333333333
207,8.31666666666667
209,12.15
210,11.7666666666667
211,8.48333333333333
213,NA
214,9.75
223,8.03333333333333
225,10.6
232,7.61666666666667
233,9.26666666666667
239,5.98333333333333
242,6.28333333333333
243,NA
249,8.33333333333333
250,8.43333333333333
252,8
254,8.51666666666667
258,5.78333333333333
261,6.75
262,7.6
265,6.26666666666667
266,6.18333333333333
268,6.4
271,9.3
273,5.4
274,5.78333333333333
276,2.18333333333333
280,4.5
282,10.0166666666667
283,3.11666666666667
284,7.01666666666667
285,6.51666666666667
291,6.16666666666667
292,11.9833333333333
295,6.25
296,1.88333333333333
298,2.01666666666667
304,3.56666666666667
306,6.86666666666667
309,6.61666666666667
310,9.2
312,6.06666666666667
315,6.23333333333333
317,9.65
318,6.6
320,NA
323,9.26666666666667
329,10.3333333333333
337,6.11666666666667
341,NA
350,5.81666666666667
351,5.83333333333333
352,NA
354,6.76666666666667
356,8.11666666666667
2001,9.75
2002,3.85
