u_id,section,kapr_secion,timestamp
5,1,11.732257168238304,1523043558
5,2,14.327051936410879,1523043996
5,3,14.171708866608007,1523044346
5,4,14.946564585461388,1523044650
5,5,12.164828990307056,1523044985
5,6,12.23287749794328,1523045299
5,7,7.741246689999393,1523045623
5,8,7.079538406931786,1523045878
5,9,9.288389278091246,1523046063
5,10,9.319170819815996,1523046311
6,1,12.199598918077239,1522793132
6,2,12.366850929264311,1522793724
6,3,3.6255410366253753,1522794103
6,4,6.245867394033822,1522794321
6,5,9.483340570810535,1522794548
6,6,9.564799677219735,1522794805
6,7,3.577289524025181,1522795033
6,8,3.9146390854906272,1522795222
6,9,1.3775076583317714,1522795404
6,10,7.116165038428473,1522795507
7,1,19.709774534287863,1522697885
7,2,13.60690912339918,1522698463
7,3,14.799670327142659,1522698841
7,4,12.5651280083689,1522699162
7,5,10.724109754120006,1522699419
7,6,11.304417237336,1522699634
7,7,10.40058178135446,1522699839
7,8,10.496156448965701,1522700052
7,9,12.818753497861088,1522700263
7,10,12.3226607194177,1522700470
8,1,7.119432209375394,1522698453
8,2,7.741197050016681,1522700576
8,3,7.987911065220099,1522701668
9,1,3.4943160071611414,1522793216
9,2,6.001402924186231,1522793714
9,3,7.596927058211672,1522794116
9,4,5.505529258469375,1522794446
9,5,4.189626510961583,1522794772
9,6,5.523414217695694,1522795043
9,7,0.4931538933845037,1522795319
9,8,1.1878977882753887,1522795512
9,9,1.9888333595723826,1522795776
9,10,0.45615915582382277,1522796029
15,1,6.819889096947193,1522793355
15,2,8.18119358607913,1522794446
15,3,7.95811381438649,1522795071
15,4,6.211391169350633,1522795637
15,5,6.9999076375307014,1522796106
15,6,3.632067993033387,1522796457
15,7,2.6052313866717625,1522796735
16,1,9.129209532393947,1522698088
16,2,11.911991150032325,1522698766
16,3,9.222834177261632,1522699350
16,4,8.077404743725456,1522699754
16,5,10.793856124505421,1522700101
16,6,8.654922453693214,1522700407
16,7,3.6357852805131547,1522700685
16,8,1.867767802611378,1522701004
26,1,1.2020207677129713,1522698173
26,2,1.7325151020003964,1522699037
26,3,2.645333070532048,1522699749
26,4,3.0776382984013333,1522700114
26,5,2.2843818686595374,1522700437
26,6,1.9136682816883162,1522700709
26,7,2.0927772375067026,1522701009
26,8,1.3218390804597704,1522701294
26,9,0.7118290323792353,1522701470
26,10,2.573915644695766,1522701515
30,1,2.534464955745661,1523053096
30,2,2.020871435309749,1523053785
30,3,2.4308747875030106,1523053934
30,4,0.8690039228464276,1523054193
30,5,2.091685655125561,1523054364
30,6,1.2600317531433118,1523054495
30,7,0.5,1523054620
30,8,0.8357699805068225,1523054723
30,9,1.0103573124406455,1523054839
34,1,7.816238742478751,1522698191
34,2,10.939455863519253,1522698927
34,3,8.269911219970979,1522699445
34,4,11.023453728231944,1522699877
34,5,8.609997057603184,1522700277
34,6,9.224849349205842,1522700592
34,7,6.02518160236414,1522700956
34,8,5.288202913162726,1522701228
34,9,6.377456867653372,1522701464
34,10,5.484254143919519,1522701648
41,1,9.747458101688023,1522793687
41,2,8.839265668032652,1522794790
41,3,8.250194987921077,1522795665
41,4,5.90214248736315,1522796314
48,1,9.772464862080888,1522793315
48,2,4.900243018093845,1522794301
48,3,4.436308122016699,1522794969
48,4,0.16113516113516113,1522795527
48,5,3.218341586390068,1522795956
48,6,9.611812993304035,1522796279
48,7,0.15735641227380015,1522796654
49,1,4.332083700539632,1522698e3
49,2,1.7848685994861933,1522698811
49,3,0.812766472860597,1522699393
49,4,0.6073917710354465,1522700054
49,5,1.1743553302301706,1522700670
49,6,1.7022664810719221,1522700952
52,1,4.727962262611595,1522793598
52,2,2.7854393652467118,1522794639
52,3,3.5582792178588085,1522795511
52,4,4.055477625203608,1522796299
52,5,2.21049441489735,1522796773
55,1,4.518499352906374,1522698206
55,2,8.18533216156743,1522699345
55,3,4.710419171797179,1522699884
55,4,4.471020435246229,1522700227
55,5,4.9999982079959615,1522700522
55,6,5.006822312292184,1522700838
59,1,8.352283853003005,1522699086
59,2,13.0122768162033,1522701461
61,1,7.339865463377566,1522793316
61,2,6.339873830115811,1522793868
61,3,5.851386493565097,1522794199
61,4,4.987371643449183,1522794493
61,5,6.000913219019513,1522794715
61,6,5.29198015073476,1522794923
61,7,1.6657914109100564,1522795149
61,8,2.7561505551586247,1522795286
61,9,0.9551734298218225,1522795433
61,10,2.0223010569328905,1522795638
62,1,11.617636166362951,1522793323
62,2,10.832825214747825,1522794002
62,3,6.876779482258351,1522794551
62,4,13.407813583221625,1522795025
62,5,10.243760038809775,1522795727
62,6,3.3368127726871912,1522796232
73,1,1.8832048147935148,1523044341
73,2,3.905110324724966,1523045904
77,1,5.321943176515281,1523052838
77,2,3.967768767338141,1523053718
77,3,4.3358574154762595,1523054383
77,4,4.089258514106649,1523054847
77,5,3.625245731314062,1523055209
77,7,1.7261480874685753,1523055805
77,8,2.038899220070928,1523056077
77,9,2.8517922711403103,1523056259
78,1,0.9657778466540876,1522793308
78,2,0.5576767708785827,1522793997
78,3,0.3126565946392614,1522794477
78,4,0.29760230966390533,1522794857
78,5,0.671950755849057,1522795290
78,6,0.21481333594749324,1522795643
78,7,0.0014580012104442154,1522795949
78,8,0.17019162135938412,1522796233
78,9,0.06232068146835118,1522796473
78,10,0.0012274563853795974,1522796721
79,1,4.1908239213697644,1522698261
79,2,1.3871849531971763,1522699128
79,3,5.469607387201561,1522699517
79,4,6.166349076648095,1522699961
79,5,5.031890302576065,1522700308
79,6,4.576518804991856,1522700754
79,7,2.009515853617304,1522701113
82,1,0.7502191535134236,1522793419
82,2,0.25711042628152614,1522794354
82,3,0.37318555755353777,1522794958
82,4,0.4222236704940262,1522795497
82,5,0.7425838782087655,1522795894
85,1,4.220061453672712,1522698423
85,2,2.5059368678896816,1522699562
85,3,2.6921306547167614,1522700284
85,4,1.2483113903486138,1522700894
87,1,18.017340261782312,1523043561
87,2,3.9933203616965396,1523044102
87,3,5.173511347363862,1523044422
87,4,1.216881180842094,1523044760
87,5,1.1558075242696668,1523045030
87,6,7.523395727256469e-4,1523045264
87,7,0.40821876998421125,1523045505
87,8,1.6610985986863973,1523045781
87,9,6.960666381494127e-4,1523046004
87,10,2.567715643658095e-4,1523046163
93,1,1.53997711654821,1522698076
93,2,1.8336099378622115,1522699513
93,3,1.5570220054048445,1522700287
93,4,0.3998135995678641,1522700999
100,1,7.742079006550768,1522698052
100,2,8.659474220311317,1522698748
100,3,10.467054892089077,1522699193
100,4,9.752145734083923,1522699609
100,5,5.085994686290346,1522699952
100,6,7.33735466556323,1522700161
100,7,4.104747904070419,1522700507
100,8,3.6902906249530187,1522700828
100,9,2.5357596261639523,1522701061
102,1,5.43161088380465,1522793234
102,2,4.549455827613486,1522793905
102,3,0.6401241051976347,1522794706
102,4,1.6315584045721012,1522795210
102,5,0.5809547015687363,1522795796
110,1,5.520553959433429,1522793971
110,2,3.2377280329362783,1522795605
110,3,1.4809249431497464,1522796509
111,1,3.7634891483075,1522793485
111,2,12.617202956383759,1522794222
111,3,11.987158543281954,1522794787
111,4,6.497491580042701,1522795275
111,5,8.450785991925793,1522795610
111,6,7.536935920566171,1522795913
111,7,3.9719843581346614,1522796149
111,8,4.463335332754168,1522796339
111,9,3.3370697958060713,1522796513
111,10,7.798318415790197,1522796673
112,1,1.692966590313339,1522698718
112,2,2.631981873203056,1522699571
112,3,0.5190512328445236,1522700085
112,4,0.12854129457401117,1522700682
112,5,1.9430798599939778,1522701073
119,1,6.8779603375625635,1522793167
119,2,4.383259497301835,1522793960
119,3,5.62296922282493,1522794400
119,4,5.636938877733925,1522794869
119,5,4.385518674774567,1522795291
119,6,4.764972230048374,1522795630
119,7,1.2157472556688247,1522795962
119,8,2.2990447429181624,1522796200
119,9,1.3462156085888768,1522796396
119,10,1.5449316975388225,1522796572
121,1,5.146527757076422,1523044035
121,2,5.728714531448998,1523045039
121,3,3.9116982737746167,1523045947
121,4,1.0242701083991586,1523046573
121,5,4.554532302917595e-4,1523047102
125,1,23.85351138789251,1522697948
125,2,32.901212864210756,1522698922
125,3,28.0712616605038,1522699555
125,4,21.545618473248513,1522700197
125,5,19.761582998367793,1522700670
125,6,7.371213881314648,1522701020
127,1,9.513518404149885,1522793218
127,2,3.075161996577549,1522793940
127,3,4.563441724206861,1522794506
127,4,2.7700297422156703,1522795093
127,5,1.5390989439393579,1522795586
127,6,1.4315235131935005,1522796062
127,7,2.5391970839439297,1522796432
127,8,1.3065205938263063,1522796801
131,1,9.424598306910605,1522697866
131,2,7.582124573784993,1522698761
131,3,8.804030553975075,1522699378
131,4,6.858949482183818,1522699881
131,5,4.701032373445269,1522700365
131,6,7.050163888885836,1522700686
131,7,3.0358038078488354,1522701048
132,1,8.147187198045822,1522793056
132,2,8.853042297198478,1522793498
132,3,9.18770583287414,1522793866
132,4,7.446599802077502,1522794171
132,5,6.886598090472909,1522794451
132,6,6.136730514799741,1522794692
132,7,2.2090833110424106,1522794920
132,8,2.87222159962978,1522795120
132,9,3.994925927642222,1522795318
132,10,2.5534061538312782,1522795511
141,1,3.94269128318752,1523053160
141,2,6.306779529989154,1523053813
141,3,4.731622329904157,1523054508
141,4,5.241307090963087,1523054901
141,5,5.335083012504018,1523055505
147,1,3.5288112117749653,1523052912
147,2,4.557008377266486,1523053636
147,3,5.611407562744837,1523054188
147,4,4.186064060260358,1523054653
147,5,5.013201241961794,1523055064
147,6,4.959015364838266,1523055498
147,7,4.0957216391685245,1523055893
149,1,21.60082929504917,1522698870
149,2,18.31670484850536,1522701439
151,2,1.2333479724784073,1522793747
151,3,1.2868796016738178,1522793955
151,4,2.0252448053341774,1522794208
151,5,0.10777477882741039,1522794522
151,6,1.0562865497076017,1522794599
151,10,0.5125661375661376,1522795116
153,1,3.7072784846988123,1522698332
153,2,6.229433678221901,1522699196
