u_id,section,timestamp,q_id,column,cell_mode,kapr_cumulative,kapr_cell
5,1,1523043558,128,fname,partial,0.21981406810035842,0.21981406810035842
5,1,1523043574,197,reg,full,1.0615649098511997,0.84175084175084125
5,1,1523043581,29,fname,partial,1.2636978463591364,0.20213293650793673
5,1,1523043585,29,sex,full,1.3467831638194534,0.083085317460317
5,1,1523043590,29,fname,full,1.679124433660723,0.33234126984126955
5,1,1523043649,278,dob,full,2.208224962761252,0.5291005291005291
5,1,1523043669,296,dob,partial,2.41512151448539,0.2068965517241379
5,1,1523043683,72,fname,partial,2.435546351086697,0.020424836601307117
5,1,1523043687,72,fname,full,2.651554471506582,0.21600812041988515
5,1,1523043690,72,sex,full,2.707258571328329,0.055704099821746844
5,1,1523043700,16,lname,full,3.162794320981726,0.45553574965339694
5,1,1523043703,16,sex,full,3.245731536271882,0.08293721529015619
5,1,1523043724,228,dob,partial,3.2543802949206406,0.00864875864875847
5,1,1523043733,143,lname,full,3.8368175709063044,0.5824372759856637
5,1,1523043736,143,sex,full,3.9264233056733295,0.08960573476702516
5,1,1523043746,246,dob,full,4.779885463483312,0.8534621578099828
5,1,1523043766,88,fname,full,5.414806098403948,0.6349206349206353
5,1,1523043773,357,fname,full,5.846634125261215,0.43182802685726696
5,1,1523043792,183,dob,partial,6.078115606742697,0.23148148148148273
5,1,1523043810,138,fname,full,6.581077208049886,0.5029616013071889
5,1,1523043823,171,dob,full,7.264999766972443,0.683922558922557
5,1,1523043830,107,lname,partial,7.326274276776365,0.061274509803921795
5,1,1523043833,107,sex,full,7.357899830223552,0.03162555344718676
5,1,1523043837,101,lname,full,7.680085155966751,0.3221853257431988
5,1,1523043840,101,sex,full,7.908711552762028,0.22862639679527774
5,1,1523043862,155,lname,partial,8.054910383171384,0.14619883040935555
5,1,1523043865,155,lname,full,8.27420862878542,0.219298245614036
5,1,1523043874,215,lname,partial,8.337339941916735,0.06313131313131493
5,1,1523043876,215,sex,full,8.369957787034577,0.03261784511784249
5,1,1523043893,307,dob,full,9.211472513542292,0.8415147265077145
5,1,1523043901,32,fname,partial,9.406578333648111,0.19510582010581956
5,1,1523043904,32,fname,full,9.797892266628711,0.3913139329805997
5,1,1523043941,254,fname,partial,10.019773133670869,0.2218808670421577
5,1,1523043943,254,fname,full,10.574475301276262,0.5547021676053934
5,1,1523043956,79,lname,full,11.069865626946761,0.495390325670499
5,1,1523043961,347,lname,partial,11.204274229097297,0.13440860215053618
